University Name,Category,Campuses,Contact Information,Website,Google Map URL,Latitude,Longitude,Image URL,Established Since,Sector,Chartered By,City,Province,Recognized University,Distance Education
"Faisalabad Medical University, Faisalabad",Medical,Mian Campus,"Sargodha Road, Faisalabad-Punjab Pakistan Tel # +92 41 9210080 Email: vcfmuf@gmail.com",http://www.pmc.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3403.6058053120237!2d73.0815224146026!3d31.452517457637572!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x39224279d366579b%3A0xdb56c457951d073b!2sFaisalabad%20Medical%20University!5e0!3m2!1sen!2s!4v1574311175576!5m2!1sen!2s,,,/english/universities/PublishingImages/Placeholder-Image-Content.png,9/28/2017,Public,Government of Punjab,Faisalabad,Punjab,Yes,No
"Fatima Jinnah Medical University, Lahore",Medical,Lahore,"Prof. Khalid Masud Gondal Vice Chancellor Shara-I-Fatima Jinnah ,Queens Road Lahore  Telephone# 99200572-8, 99203718 111-222-572",http://www.fjmu.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3399.877746130356!2d74.31751551476083!3d31.554969581358094!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x391904ac25ae6a55%3A0x2085abebcd169bce!2sFatima+Jinnah+Medical+University!5e0!3m2!1sen!2s!4v1514457609564,,,/english/universities/PublishingImages/FJMU.jpeg,7/1/2015,Public,Government of Punjab,Lahore,Punjab,Yes,No
Fatima Jinnah Women University,General,Rawalpindi,"The Mall, Old Presidency, Rawalpindi +92-51-9292901, +92-51-9292902, +92-51-9292 900",http://www.fjwu.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3323.728064733942!2d73.0623198147285!3d33.58640914958259!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38df935d88751e21%3A0x6d71a383fef3e118!2sFatima+Jinnah+Women+University!5e0!3m2!1sen!2s!4v1468742515441,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,8/9/1999,Public,Government of Punjab,Rawalpindi,Punjab,Yes,No
"Federal Urdu University of Arts, Sciences & Technology",General,Islamabad; Karachi,"Sector G-7/1, Near Zero Point,Islamabad. +92-51-9252860-64",http://www.fuuastisb.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3319.4003029054643!2d73.06904511456521!3d33.69858928070365!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38dfbfec16c10e65%3A0xfef10fa74d46d99b!2sFederal+Urdu+University+of+Arts%2C+Sciences+%26+Technology+-+Islamabad+Campus!5e0!3m2!1sen!2s!4v1466929483707,,,/english/universities/PublishingImages/Urdu%20University.jpg,11/13/2002,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No
Forman Christian College,General,Lahore,"Ferozpur Road, Lahore +92-42-99230782, +92-42-99231581-88",http://www.fccollege.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3401.0991789740133!2d74.3316307146741!3d31.52143585424436!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3919048b496a35a5%3A0x8a16719091174271!2sForman+Christian+College+(A+Chartered+University)!5e0!3m2!1sen!2s!4v1468743021529,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,10/12/2004,Private,Government of Punjab,Lahore,Punjab,Yes,No
Foundation University,General,Islamabad,"Defence Avenue, Phase-I, DHA,Islamabad +92-51-5788171, +92-51-5788250",http://www.fui.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d212517.07988126494!2d72.89780862252364!3d33.66805922794079!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38dfed0515733cc3%3A0xaf0657755cd06a63!2sFoundation%20University!5e0!3m2!1sen!2s!4v1703066579026!5m2!1sen!2s,,,/english/universities/PublishingImages/Foundation%20University.jpeg,10/25/2002,Private,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No
Gambat Institute of Medical Sciences,General,Khairpur,"Gambat Institute of Medical Sciences, Gambat Station Road, Pakistan. +92-243-640160",http://www.xyz.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3543.993488969716!2d68.53902341457515!3d27.344672047944197!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3935c010bd38ce3f%3A0xe225aa13b7a8b38a!2sGambat+Institute+of+Medical+Sciences%2C+Gambat+Station+Rd%2C+Pakistan!5e0!3m2!1sen!2s!4v1468948745938,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,12/18/2006,Public,Government of Sindh,Khairpur,Sindh,Yes,No
Gandhara University,General,Peshawar,"Canal Road University Town, Peshawar. +92-91-5844429-32",http://www.gandhara.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3307.9940134438275!2d71.4787650147396!3d33.99268752831462!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38d917339083c561%3A0x9de61e8f2599940c!2sGandhara+University!5e0!3m2!1sen!2s!4v1468672689969,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,11/23/2002,Private,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes,No
"Ghazi National Institute of Engineering and Sciences, Dera Ghazi Khan",General,Mian Campus,"Taunsa By Pass Road, Near Pakistan Chowk,  Dera Ghazi Khan Khan,  Punjab-Pakistan. Tel # +92 64 268 9006; +64 268 9006 Email: info@gnies.edu.pk",https://www.gnies.edu.pk/,"https://www.google.com/maps/search/ghazi+national+institute+of+engineering+and+sciencess+dera+ghazi+khan/@30.0432206,70.6269693,13z/data=!3m1!4b1",,,/english/universities/PublishingImages/Ghazi%20Institute%20of%20Engg%20and%20Sciences.jpg,12/24/2021,Private,Government of Punjab,Dera Ghazi Khan,Punjab,Yes,No
Ghazi University,General,Dera Ghazi Khan,"Ghazi University, Dera Ghazi Khan Tel # +92 (64) 9260135 Email: info@gudgk.edu.pk",http://www.gudgk.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3456.526868328876!2d70.49828961463547!3d29.964284929310807!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x393aa8bc4beb87df%3A0x7fbc53ee65d4d164!2sGhazi+University%2C+D.G.Khan!5e0!3m2!1sen!2s!4v1468930260471,,,/english/universities/PublishingImages/Ghazi%20University.jpg,2/11/2012,Public,Government of Punjab,Dera Ghazi Khan,Punjab,Yes,No
Ghulam Ishaq Khan Institute of Engineering Sciences & Technology,General,Mian Campus; Swabi,"Topi-23640, District Swabi +92-938-271875,+92-938-271897, exchange: 271858",http://www.giki.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3304.924148993337!2d72.64397241474181!3d34.0714586241655!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38def93c5797c0d7%3A0x95445985be9ab625!2sGhulam+Ishaq+Khan+Institute+of+Engineering+Sciences+and+Technology!5e0!3m2!1sen!2s!4v1468673206870,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,7/18/1994,Private,Government of Khyber Pakhtunkhwa,Abbottabad,Khyber Pakhtunkhwa,Yes,No
GIFT University,General,Gujranwala,"Sialkot Bypass, Gujranwala, Pakistan. +92-55-3892981",http://www.gift.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3375.975363053278!2d74.19024631469165!3d32.20489452024389!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x391f29b5c34355cd%3A0x3b491b5bb56ee82a!2sGIFT+University!5e0!3m2!1sen!2s!4v1468743614226,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,6/10/2004,Private,Government of Punjab,Gujranwala,Punjab,Yes,No
"Global Institute, Lahore",General,Lahore,"3-Aurangzeb Block, New Garden Town, Lahore. +92-42-35857924-6",http://global.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1728874.3872980676!2d72.7882180916616!3d32.185153664592825!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x39190f4c5619567d%3A0x9729943465fd05a4!2sGlobal+Institute+Lahore!5e0!3m2!1sen!2s!4v1468744026188,,,/english/universities/PublishingImages/Global%20Institute.png,1/22/2011,Private,Government of Punjab,Lahore,Punjab,Yes,No
Gomal University,General,Dera Ismail Khan,"Multan Road, D. I Khan +92-966-750266, +92-966-750279 +92-966-966-750-424-9",http://www.gu.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3390.225943809435!2d70.8949414146817!3d31.818839439527544!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x39266ddaef2858fb%3A0x8583f67a3cdf87fe!2sGomal+University!5e0!3m2!1sen!2s!4v1468673767676,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,12/2/1974,Public,Government of Khyber Pakhtunkhwa,Dera Ismail Khan,Khyber Pakhtunkhwa,Yes,No
"Government College for Women University, Faisalabad",General,Faisalabad,"Government College for Women University, Faisalabad. +92-41-9220053, +92-41-9220297",http://www.gcuf.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3405.560630043671!2d73.09523016467095!3d31.39867636028366!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x392267fd1adf0679%3A0x5eeef8628e55fc2f!2sGovernment+College+for+Women%2C+Faisalabad%2C+Pakistan!5e0!3m2!1sen!2s!4v1468745442551,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,1/5/2013,Public,Government of Pakistan,Faisalabad,Punjab,Yes,No
"Government College for Women University, Sialkot",General,Sialkot,"Kutchehry Road Sialkot - 51310 Punjab, Pakistan. +92-52-925 0170, +92-52-925 0556",http://www.gcwus.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3364.875285863895!2d74.52834451472442!3d32.502762305226604!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x391eea4446bb27f7%3A0x398e021b83700153!2sGovernment+College+Women+University%2Csialkot!5e0!3m2!1sen!2s!4v1468911760050,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,4/23/2015,Public,Government of Punjab,Sialkot,Punjab,Yes,No
"Government College University, Faisalabad",General,Faisalabad,"Kotwali Rd, Faisalabad 38000, Pakistan. +92-41-9200670, +92-41-9201266, +92-41-9200670",http://www.gcuf.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3404.9377308865523!2d73.06711561469667!3d31.415841659440392!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x392242bef30a05ed%3A0x39e814b7f874c28d!2sGovernment+College+University!5e0!3m2!1sen!2s!4v1468912193278,,,/Style%20Library/HEC/images/02.jpg,10/19/2002,Public,Government of Punjab,Faisalabad,Punjab,Yes,No
"Government College University, Hyderabad",General,Mian Campus,"Opposite Pinyari Police Station, Kali Mori, Hyderabad Sindh, Pakistan Tel # +92-22-2111877 Email: info@gcuh.edu.pk",http://www.gcuh.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3603.931757092848!2d68.37609131446047!3d25.407094829388782!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x394c70d90389ad11%3A0x1509aeaa45d7f2f2!2sGovernment+College+University+%2C+Hyderabad!5e0!3m2!1sen!2s!4v1561448448435!5m2!1sen!2s,,,/english/universities/PublishingImages/GCUH.jpg,6/17/2019,Public,Government of Sindh,Hyderabad,Sindh,Yes,No
"Government College University, Lahore",General,Lahore,"Near Nasir Bagh, Katchery Rd, Lahore 54000, Pakistan. +92-42-111 000 010",http://www.gcu.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3399.214816602976!2d74.30566981467544!3d31.573156551693728!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x39191ca6eeacbc8b%3A0xf0c436e69e66658!2sGovernment+College+University!5e0!3m2!1sen!2s!4v1468915847194,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,9/10/2002,Public,Government of Punjab,Lahore,Punjab,Yes,No
Government Sadiq College Women University,General,Bahawal Pur,"Government Sadiq College Women University, Bahawalpur. +92-62-2284803, +92-62 9250075",http://www.gscwu.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3476.0166272637935!2d71.6927050146219!3d29.39906965572562!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x393b90eb306e1bc1%3A0x969a9908097d5f05!2sThe+Government+Sadiq+College+Women+University+Bahawalpur+Pakistan+-+GSCWU!5e0!3m2!1sen!2s!4v1468916606732,,,/english/universities/PublishingImages/Govt.%20Sadiq%20Women%20University.png,5/25/2015,Public,Government of Punjab,Bahawal Pur,Punjab,Yes,No
Greenwich University,General,Karachi,"DK-10, 38th Street, Darkshan, DHA, Phase 6, Karachi 75500. +92-21-35840397-98, +92-21-35847663, +92-21-35847664 +92-21-35842270, UAN:(92)(21) 111 202 303",http://www.greenwichuniversity.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3622.226058454567!2d67.04734221452205!3d24.787711654275235!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb33ce057f6836d%3A0x71f51fbb642e3d9c!2sGreenwich+University!5e0!3m2!1sen!2s!4v1468949469263,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,2/3/1998,Private,Government of Sindh,Karachi,Sindh,Yes,No
Habib University,General,Karachi,"Habib University Foundation147, Block 7 & 8 Banglore Cooperative Housing SocietyTipu Sultan Road Karachi – 75350. +92-21-111-042 242",http://www.habib.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3618.7862389029046!2d67.13549821452446!3d24.905272049594725!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb33906ead1899d%3A0x3c0681e6f7d5dc14!2sHabib+University!5e0!3m2!1sen!2s!4v1468950071833,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,10/8/2012,Private,Government of Sindh,Karachi,Sindh,Yes,No
Hajvery University,General,Lahore,"43-52 Industrial Area Gulberg III, Lahore. +92-42-35717130-1, +92-42-111 777 007",http://www.hajvery.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3401.8636318565536!2d74.35530121467356!3d31.50043195527914!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3919044adbe6181f%3A0x339e44dede6d4732!2sHajvery+University+(HU)%2C+Main+Campus!5e0!3m2!1sen!2s!4v1468917061151,,,/english/universities/PublishingImages/Hajvery-University-logo.jpg,10/2/2002,Private,Government of Punjab,Lahore,Punjab,Yes,No
Hamdard University,General,Islamabad; Karachi,"Madinat-al-Hikmah, Sharea Madinat al-Hikmah, Muhammad Bin Qasim Avenue, Karachi 74600. +92-21-36440030021, +92-21-36440017 +92-21-36440030",http://www.hamdard.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3619.4993038346556!2d67.05958131452392!3d24.880944850564916!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb33eec4e7d368f%3A0x4708182740e2c3d1!2sHamdard+University!5e0!3m2!1sen!2s!4v1468950623453,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,2/22/1992,Private,Government of Sindh,Karachi,Sindh,Yes,No
"Hands Institute of Development Studies, Karachi",General,Mian Campus,"Plot No. 158, Off M9 (Karachi-Hyderabad) Motorway, Gaddap Road, Near Baqai University, Karachi-Pakistan Tel # registrar@hands-ida.edu.pk Email: 021-38102402",https://hands-ids.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3616.3584065376426!2d67.21145247443421!3d24.98793464014666!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb349b77adb493b%3A0x78e9c4e5be98453a!2sHANDS-Institute%20of%20Development%20Studies%2C%20Karachi!5e0!3m2!1sen!2s!4v1706524562185!5m2!1sen!2s,,,/english/universities/PublishingImages/Hands%20Institute%20Karachi.png,9/4/2023,Private,Government of Sindh,Karachi,Sindh,Yes,No
Hazara University,General,Mian Campus; Mansehra,"Dhodial, Mansehra +92-997-530732, +92-997-414121",http://www.hu.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3291.2121746173916!2d73.24854601475148!3d34.42136530563581!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38de17bf9b773903%3A0x8fa215c25efb071a!2sHazara+University+Mansehra!5e0!3m2!1sen!2s!4v1468674690391,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,5/14/1997,Public,Government of Khyber Pakhtunkhwa,Mansehra,Khyber Pakhtunkhwa,Yes,No
"Health Services Academy (HSA), Islamabad",General,Mian Campus,"Opposite National Institute of Health (NIH), Islamabad Tel # +92-51-9255590-94, Fax # +92-51-9255591 Email: academy@hsa.edu.pk",http://www.hsa.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3319.7900456422517!2d73.13955521475596!3d33.68850024425887!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38dfea78d7ce7d4f%3A0xd100eb5820997738!2sHealth%20Services%20Academy!5e0!3m2!1sen!2s!4v1582177216410!5m2!1sen!2s,,,/english/universities/PublishingImages/Health%20Services%20Academy%20Islamabad.png,5/24/2018,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No
HITEC University,General,Rawalpindi,"Museum Road Taxila Cantt. +92-51-4908142, +92-51-3010514, +92-51-908146-50",http://www.hitecuni.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3318.391335751914!2d72.81715611475691!3d33.72469544236821!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38dfa3f13c5d1479%3A0x8b05f08f3d3a0c95!2sHITEC+University!5e0!3m2!1sen!2s!4v1468911380644,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,11/17/2009,Private,Government of Punjab,Rawalpindi,Punjab,Yes,No
Hyderabad Institute for Technology & Management Sciences,General,Mian Campus,Tell # 92-22-3823752 Email: rectorhitmshyd@gmail.com,http://www.hec.gov.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3605.9512415694394!2d68.35894247444666!3d25.33941712592736!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x394c710070cc47db%3A0xaa037a78ba326c66!2sHYDERABAD%20INSTITUTE%20FOR%20TECHNOLOGY%20AND%20MANAGEMENT%20SCIENCES!5e0!3m2!1sen!2s!4v1725443566519!5m2!1sen!2s,,,/english/universities/PublishingImages/HEC.gif,12/3/2021,Public,Government of Pakistan,Hyderabad,Sindh,Yes,No
"Ibadat International University, Islamabad",General,Mian Campus,"6.7 Km, Japan Road, Sihala Islamabad-Pakistan Tel # 0092-51-4486422-25 UAN # 0092-51-111-448-448, Email: info@iiui.edu.pk",https://iiui.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3324.3123180133816!2d73.23278661468595!3d33.57123935037245!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38dfee56eaa66a77%3A0x5571fb34fd106359!2sUniversity%20Of%20Lahore!5e0!3m2!1sen!2s!4v1634536554486!5m2!1sen!2s,,,/english/universities/PublishingImages/IBADAT%20International%20University%20Islamabad%20Logo.jpg,10/8/2021,Private,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No
"Ibn-e-Sina University, Mirpurkhas",General,Mian Campus,"Mirpurkhas, Sindh-Pakistan Email: info@isu.edu.pk Tel # +92-0233 821503",https://isu.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3600.7253550628757!2d68.9567406!3d25.514204600000003!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x394eab4756b57827%3A0x439377dbbcea525e!2sIbn-e-Sina%20University%2C%20Mirpurkhas!5e0!3m2!1sen!2s!4v1688537144542!5m2!1sen!2s,,,/english/universities/PublishingImages/IBN-E-SINA%20UNIVERSITY.png,7/22/2022,Private,Government of Sindh,Mirpur Khas,Sindh,Yes,No
ILMA University,General,Karachi,"Main Ibrahim Hydri Road, Korangi Creek, Karachi. +92-21-35120462, +92-21-35091872, +92-21-35120461",http://www.ibt.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3618.2623626145246!2d67.08815391452474!3d24.923130648881873!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb33f344545bec7%3A0x57b6813e63e0de6c!2sInstitute+of+Business+%26+Technology+(Biztek)+Gulshan+Executive+Campus!5e0!3m2!1sen!2s!4v1468987641190,,,/english/universities/PublishingImages/ILMA%20Karachi.jpg,10/11/2003,Private,Government of Sindh,Karachi,Sindh,Yes,No
Imperial College of Business Studies,General,Lahore,"Canal Bank Road Near Bahria Chowk, Lahore 53720. +92-42-35978525-32",http://www.imperial.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3405.578740577773!2d74.16846641467093!3d31.398177160308244!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3919039c71bb77fb%3A0x708216212e8a42cd!2sImperial+College+of+Business+Studies!5e0!3m2!1sen!2s!4v1468917451828,,,/english/universities/PublishingImages/Imperial%20College%20Lahore.jpg,4/10/2002,Private,Government of Punjab,Lahore,Punjab,Yes,No
Indus University,General,Karachi,"ST-2D, Block-17, Adjacent National Stadium Gulshan-e Iqbal, Opp: Mushriq Centre, Karachi. +92-21-34977457, +92-21- 34801430-35 +92-21-34811723, +92-21-34977457",http://www.indus.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3619.0056897599616!2d67.0776884145242!3d24.897787549893255!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb33ed99b197d7d%3A0xf77ba28a91dce806!2sIndus+University!5e0!3m2!1sen!2s!4v1468954617139,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,10/20/2004,Private,Government of Sindh,Karachi,Sindh,Yes,No
Indus Valley School of Art & Architecture,General,Karachi,"Street 33, Block 2, Scheme-5, Clifton, Karachi.75600 +92-21-111-111-487 Ext: 201,+92-21-35861055 +92-21-35861039-40",http://www.indusvalley.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3621.5290479993046!2d67.0133936145225!3d24.811575053326795!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb33d9a30d16fb1%3A0xc254b52219b282f!2sIndus+Valley+School+of+Art+and+Architecture!5e0!3m2!1sen!2s!4v1468986967270,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,7/27/1994,Private,Government of Sindh,Karachi,Sindh,Yes,No
Information Technology University of the Punjab,Engineering & Technology,Lahore,"6th Floor, Arfa Software Technology Park, Ferozepur Road, Lahore. +92-42-99232124, +9242-99232538, +92-42-99231170  +92-42-99231171",http://www.itu.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3402.7564410211944!2d74.34007021467293!3d31.475885456487656!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x39190427235b67ed%3A0x80c2ec5016353f7d!2sInformation+Technology+University!5e0!3m2!1sen!2s!4v1468917848943,,,/english/universities/PublishingImages/information%20Technology%20University.jpg,9/10/2012,Public,Government of Punjab,Lahore,Punjab,Yes,No
Institute for Art and Culture,Arts & Design,Mian Campus,"Mian Riwand Road, Lahore Pakistan Tel: +92 42 32590040-7 Email: info@iac.edu.pk",http://www.iac.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d108904.94386251722!2d74.21943809568651!3d31.46149684090966!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x27a4185da643510b!2sUniversity+Of+Culture+%26+Arts!5e0!3m2!1sen!2s!4v1530859914943,,,/english/universities/PublishingImages/ICA%20lahore.jpg,5/22/2018,Private,Government of Pakistan,Lahore,Punjab,Yes,No
Institute of Business Administration,General,Karachi,"Main Campus University Road, Karachi. +92-21-38104700-1",http://www.iba.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3617.727939488924!2d67.11166631452512!3d24.941336448154768!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb338bcd01921f5%3A0x5fd98736c5530784!2sInstitute+of+Business+Administration+Karachi+Main+Campus!5e0!3m2!1sen!2s!4v1468987205636,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,8/17/1994,Public,Government of Sindh,Karachi,Sindh,Yes,No
Institute of Business Managementhttp://www.iobm.edu.pk,General,Karachi,"Korangi Creek, Karachi-75190, Pakistan. +92-21-35091684, +92-21-350 91907",http://www.iobm.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3621.499799637227!2d67.11483111452256!3d24.812575953286846!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb33b7680aed395%3A0x21d3c8026afe14ce!2sCollege+of+Business+Management!5e0!3m2!1sen!2s!4v1468988030182,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,4/27/1998,Private,Government of Sindh,Karachi,Sindh,Yes,No
Institute of Management Sciences,General,Lahore,"23-E-III, Gulberg-III, Lahore. +92-42-35751115-8, +92-42-35758664",http://www.pakaims.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3401.6522691786568!2d74.33740471467368!3d31.506240554993017!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3919044337da7039%3A0x4aef7cf6ff38111c!2sThe+Institute+of+Management+Sciences!5e0!3m2!1sen!2s!4v1468918608446,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,4/10/2002,Private,Government of Punjab,Lahore,Punjab,Yes,No
Institute of Management Sciences (2),General,Peshawar,"I-A, Sector E-5, Phase-VII, Hayatabad, Peshawar. +92-91-9219542",http://www.imsciences.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3309.3368615679483!2d71.41474691473859!3d33.95818023012958!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38d910770b07434b%3A0xf26b39f7ba7ce17c!2sInstitute+of+Management+Sciences%2C+Peshawar!5e0!3m2!1sen!2s!4v1468675223460,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,10/2/2002,Public,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes,No
